wl,lmax328,lmax337,lmax461,lmax543
300,0.732155673,0.617995097,0.171477906,0.149797601
301,0.732889066,0.621890902,0.172212442,0.151237381
302,0.737226566,0.629536505,0.173210342,0.154129194
303,0.752516076,0.638191327,0.174941749,0.157008755
304,0.761319793,0.645115777,0.176726652,0.160762394
306,0.780545682,0.662138342,0.181083461,0.167382319
307,0.789678677,0.671514318,0.181293329,0.172187713
308,0.802435735,0.68089128,0.183235632,0.174040026
309,0.81230412,0.692143634,0.186751942,0.175479806
311,0.832506869,0.715657562,0.189953451,0.177559828
312,0.841331539,0.72647683,0.191685887,0.175860684
313,0.852079997,0.738594371,0.192892626,0.176402899
314,0.862224776,0.750134792,0.194572595,0.176071035
316,0.882875544,0.774946993,0.196882167,0.177510815
317,0.893802609,0.789805112,0.197459302,0.181700473
318,0.904337534,0.802066686,0.199139271,0.185312176
319,0.919078247,0.818656165,0.200450944,0.18776695
321,0.945360679,0.847075117,0.203232717,0.192757167
322,0.958857117,0.860634964,0.204965153,0.195132293
323,0.975426824,0.874195797,0.206697589,0.198529562
324,0.980554592,0.88977507,0.207012391,0.201851267
326,0.992746887,0.913722084,0.207327192,0.20726627
327,0.996706215,0.92309806,0.208271596,0.210072309
328,1,0.934206381,0.209007161,0.213824928
329,0.995057825,0.945874064,0.208954694,0.216944451
331,0.977042285,0.965365912,0.209899098,0.222093963
332,0.961295776,0.974020735,0.209741698,0.224309794
333,0.929395648,0.9771944,0.211315704,0.225607639
334,0.904737658,0.985561156,0.21220867,0.228248257
336,0.858002025,0.999990135,0.21420344,0.232862701
337,0.834572344,1,0.216565479,0.234270826
338,0.8074737,0.999694176,0.217509883,0.235975077
339,0.783084122,0.987581568,0.219976856,0.237709961
341,0.743323212,0.960171835,0.225278069,0.242953415
342,0.721385264,0.946034869,0.226853104,0.245806426
343,0.701724328,0.928291151,0.230212013,0.247844583
344,0.683639939,0.907662821,0.23094655,0.249277215
346,0.648448022,0.865251922,0.234988558,0.252896067
347,0.624383731,0.845055692,0.236510097,0.254193911
348,0.603740946,0.827456007,0.236719965,0.256502665
349,0.584574926,0.799614174,0.239029537,0.257368575
351,0.536933278,0.759943854,0.241863777,0.262556889
352,0.515333589,0.733977413,0.24480398,0.26441635
353,0.487647232,0.715224476,0.24480398,0.267767668
354,0.463695694,0.693874993,0.24480398,0.269644487
356,0.419843745,0.649154629,0.243806081,0.273568654
357,0.40104991,0.627949179,0.24480398,0.274116996
358,0.382444662,0.603281011,0.246902656,0.275993815
359,0.369722528,0.587557706,0.250052727,0.274725584
361,0.350324018,0.540263486,0.25535394,0.274062876
362,0.342188837,0.523651317,0.25970972,0.2729907
363,0.335210123,0.505908586,0.264066529,0.27250771
364,0.331119083,0.488164868,0.267582839,0.268755091
366,0.319824822,0.451235126,0.277713063,0.263648467
367,0.314890629,0.433635442,0.281912472,0.262579354
368,0.309179139,0.418921356,0.285271381,0.260889399
369,0.303866775,0.397715906,0.290205326,0.257441075
371,0.29110872,0.36338271,0.295821341,0.253903913
372,0.285930063,0.347947471,0.302120453,0.251232661
373,0.280261479,0.335540877,0.309836172,0.249277215
374,0.276306143,0.317941192,0.31371975,0.247415712
376,0.265860023,0.283494545,0.32442711,0.240833569
377,0.262213012,0.272644695,0.330831157,0.23789172
378,0.257674952,0.256488303,0.336657039,0.235872965
379,0.250334031,0.247832494,0.343690688,0.233469247
381,0.244400028,0.222876259,0.356917487,0.223662404
382,0.246796779,0.218693375,0.363426467,0.219664717
383,0.250138459,0.21436547,0.370984785,0.215371926
384,0.255072652,0.207730073,0.37744027,0.211040332
386,0.263669821,0.196188666,0.391402634,0.202377144
387,0.268142025,0.192005781,0.397018648,0.196309646
388,0.270187545,0.186956724,0.403001931,0.192557027
389,0.273953296,0.182628819,0.408093276,0.186039214
391,0.278576171,0.173973997,0.420008404,0.174934527
392,0.282308994,0.166183374,0.425624418,0.169727833
