wl,uv,blue,green
300,0.30000000,0.07700000,0.12500000
305,0.39400000,0.10500000,0.13500000
310,0.48700000,0.13200000,0.14600000
315,0.58100000,0.15900000,0.15500000
320,0.67500000,0.18500000,0.16700000
325,0.76900000,0.20800000,0.17400000
330,0.86200000,0.23900000,0.18000000
335,0.95600000,0.26700000,0.18500000
340,1.00000000,0.29700000,0.18900000
345,0.99800000,0.31400000,0.19200000
350,0.97500000,0.33500000,0.19400000
355,0.90000000,0.35400000,0.19500000
360,0.81200000,0.37200000,0.19700000
365,0.71000000,0.38900000,0.19800000
370,0.61800000,0.40700000,0.19600000
375,0.53700000,0.43000000,0.19400000
380,0.44900000,0.47000000,0.18800000
385,0.36200000,0.50700000,0.18000000
390,0.28400000,0.57000000,0.17200000
395,0.22100000,0.63300000,0.16500000
400,0.17300000,0.70000000,0.16100000
405,0.13700000,0.75100000,0.16300000
410,0.10900000,0.81600000,0.16500000
415,0.08600000,0.87100000,0.16600000
420,0.06800000,0.91400000,0.16800000
425,0.05400000,0.95400000,0.17800000
430,0.04300000,0.98700000,0.19200000
435,0.03600000,1.00000000,0.21000000
440,0.03200000,0.99300000,0.22900000
445,0.02700000,0.95100000,0.24800000
450,0.02500000,0.87000000,0.27100000
455,0.02200000,0.77900000,0.29700000
460,0.01800000,0.69200000,0.32500000
465,0.01500000,0.62600000,0.35500000
470,0.01300000,0.54400000,0.39400000
475,0.01100000,0.46600000,0.43900000
480,0.00900000,0.38300000,0.50000000
485,0.00700000,0.29200000,0.54500000
490,0.00500000,0.20800000,0.59300000
495,0.00400000,0.14400000,0.63900000
500,0.00200000,0.10200000,0.67700000
505,0.00200000,0.07600000,0.72000000
510,0.00200000,0.05800000,0.76600000
515,0.00100000,0.04600000,0.80500000
520,0.00100000,0.03600000,0.84100000
525,0.00100000,0.02800000,0.88500000
530,0.00000000,0.01800000,0.92500000
535,0.00000000,0.01000000,0.95400000
540,0.00000000,0.00400000,0.97000000
545,0.00000000,0.00100000,0.98600000
550,0.00000000,0.00000000,0.99400000
555,0.00000000,0.00000000,0.99900000
560,0.00000000,0.00000000,1.00000000
565,0.00000000,0.00000000,0.97700000
570,0.00000000,0.00000000,0.91100000
575,0.00000000,0.00000000,0.80600000
580,0.00000000,0.00000000,0.68100000
585,0.00000000,0.00000000,0.55900000
590,0.00000000,0.00000000,0.45000000
595,0.00000000,0.00000000,0.35500000
600,0.00000000,0.00000000,0.27100000
605,0.00000000,0.00000000,0.20400000
610,0.00000000,0.00000000,0.15200000
615,0.00000000,0.00000000,0.11400000
620,0.00000000,0.00000000,0.08600000
625,0.00000000,0.00000000,0.06400000
630,0.00000000,0.00000000,0.04700000
635,0.00000000,0.00000000,0.03400000
640,0.00000000,0.00000000,0.02300000
645,0.00000000,0.00000000,0.01600000
650,0.00000000,0.00000000,0.01200000
655,0.00000000,0.00000000,0.01000000
660,0.00000000,0.00000000,0.01000000
665,0.00000000,0.00000000,0.00900000
670,0.00000000,0.00000000,0.00800000
675,0.00000000,0.00000000,0.00700000
680,0.00000000,0.00000000,0.00600000
685,0.00000000,0.00000000,0.00600000
690,0.00000000,0.00000000,0.00600000
695,0.00000000,0.00000000,0.00700000
700,0.00000000,0.00000000,0.00600000
705,0.00000000,0.00000000,0.00000000
710,0.00000000,0.00000000,0.00000000
715,0.00000000,0.00000000,0.00000000
720,0.00000000,0.00000000,0.00000000
725,0.00000000,0.00000000,0.00000000
730,0.00000000,0.00000000,0.00000000
735,0.00000000,0.00000000,0.00000000
740,0.00000000,0.00000000,0.00000000
745,0.00000000,0.00000000,0.00000000
750,0.00000000,0.00000000,0.00000000
