wl,uv,sws,mws
538,0.000,0.006,0.914
539,0.000,0.006,0.905
540,0.000,0.005,0.894
541,0.000,0.005,0.884
542,0.000,0.004,0.873
543,0.000,0.004,0.861
544,0.000,0.004,0.849
545,0.000,0.003,0.837
546,0.000,0.003,0.824
547,0.000,0.003,0.811
548,0.000,0.002,0.798
549,0.000,0.002,0.784
550,0.000,0.002,0.770
551,0.000,0.002,0.756
552,0.000,0.002,0.741
553,0.000,0.001,0.726
554,0.000,0.001,0.712
555,0.000,0.001,0.696
556,0.000,0.001,0.681
557,0.000,0.001,0.666
558,0.000,0.001,0.650
559,0.000,0.001,0.635
560,0.000,0.001,0.619
561,0.000,0.001,0.603
562,0.000,0.001,0.588
563,0.000,0.001,0.572
564,0.000,0.001,0.556
565,0.000,0.000,0.541
566,0.000,0.000,0.525
567,0.000,0.000,0.510
568,0.000,0.000,0.495
569,0.000,0.000,0.479
570,0.000,0.000,0.464
571,0.000,0.000,0.449
572,0.000,0.000,0.435
573,0.000,0.000,0.420
574,0.000,0.000,0.406
575,0.000,0.000,0.392
576,0.000,0.000,0.378
577,0.000,0.000,0.364
578,0.000,0.000,0.350
579,0.000,0.000,0.337
580,0.000,0.000,0.324
581,0.000,0.000,0.312
582,0.000,0.000,0.299
583,0.000,0.000,0.287
584,0.000,0.000,0.275
585,0.000,0.000,0.264
586,0.000,0.000,0.252
587,0.000,0.000,0.241
588,0.000,0.000,0.230
589,0.000,0.000,0.220
590,0.000,0.000,0.210
591,0.000,0.000,0.200
592,0.000,0.000,0.191
593,0.000,0.000,0.181
594,0.000,0.000,0.172
595,0.000,0.000,0.164
596,0.000,0.000,0.155
597,0.000,0.000,0.147
598,0.000,0.000,0.140
599,0.000,0.000,0.132
600,0.000,0.000,0.125
601,0.000,0.000,0.118
602,0.000,0.000,0.111
603,0.000,0.000,0.105
604,0.000,0.000,0.099
605,0.000,0.000,0.093
606,0.000,0.000,0.088
607,0.000,0.000,0.082
608,0.000,0.000,0.077
609,0.000,0.000,0.073
610,0.000,0.000,0.068
611,0.000,0.000,0.064
612,0.000,0.000,0.060
613,0.000,0.000,0.056
614,0.000,0.000,0.052
615,0.000,0.000,0.049
616,0.000,0.000,0.046
617,0.000,0.000,0.042
618,0.000,0.000,0.040
619,0.000,0.000,0.037
620,0.000,0.000,0.034
621,0.000,0.000,0.032
622,0.000,0.000,0.030
623,0.000,0.000,0.028
624,0.000,0.000,0.026
625,0.000,0.000,0.024
626,0.000,0.000,0.022
627,0.000,0.000,0.020
628,0.000,0.000,0.019
629,0.000,0.000,0.018
630,0.000,0.000,0.016
631,0.000,0.000,0.015
632,0.000,0.000,0.014
633,0.000,0.000,0.013
634,0.000,0.000,0.012
635,0.000,0.000,0.011
636,0.000,0.000,0.010
637,0.000,0.000,0.009
638,0.000,0.000,0.009
639,0.000,0.000,0.008
640,0.000,0.000,0.007
641,0.000,0.000,0.007
642,0.000,0.000,0.006
643,0.000,0.000,0.006
644,0.000,0.000,0.005
645,0.000,0.000,0.005
646,0.000,0.000,0.005
647,0.000,0.000,0.004
648,0.000,0.000,0.004
649,0.000,0.000,0.004
650,0.000,0.000,0.003
651,0.000,0.000,0.003
652,0.000,0.000,0.003
653,0.000,0.000,0.003
654,0.000,0.000,0.002
655,0.000,0.000,0.002
656,0.000,0.000,0.002
657,0.000,0.000,0.002
658,0.000,0.000,0.002
659,0.000,0.000,0.002
660,0.000,0.000,0.001
661,0.000,0.000,0.001
662,0.000,0.000,0.001
663,0.000,0.000,0.001
664,0.000,0.000,0.001
665,0.000,0.000,0.001
666,0.000,0.000,0.001
667,0.000,0.000,0.001
668,0.000,0.000,0.001
669,0.000,0.000,0.001
670,0.000,0.000,0.001
671,0.000,0.000,0.001
672,0.000,0.000,0.001
673,0.000,0.000,0.001
674,0.000,0.000,0.000
675,0.000,0.000,0.000
676,0.000,0.000,0.000
677,0.000,0.000,0.000
678,0.000,0.000,0.000
679,0.000,0.000,0.000
680,0.000,0.000,0.000
681,0.000,0.000,0.000
682,0.000,0.000,0.000
683,0.000,0.000,0.000
684,0.000,0.000,0.000
685,0.000,0.000,0.000
686,0.000,0.000,0.000
687,0.000,0.000,0.000
688,0.000,0.000,0.000
689,0.000,0.000,0.000
690,0.000,0.000,0.000
691,0.000,0.000,0.000
692,0.000,0.000,0.000
693,0.000,0.000,0.000
694,0.000,0.000,0.000
695,0.000,0.000,0.000
696,0.000,0.000,0.000
697,0.000,0.000,0.000
698,0.000,0.000,0.000
699,0.000,0.000,0.000
700,0.000,0.000,0.000
